,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
1966.0,42.0,15.0,29.0,23.0,71.0,38.0,1.2352941176470589,0.4411764705882353,0.8529411764705882,0.6764705882352942,2.088235294117647,1.1176470588235294,1.868421052631579
1967.0,37.0,14.0,25.0,33.0,62.0,47.0,1.088235294117647,0.4117647058823529,0.7352941176470589,0.9705882352941176,1.8235294117647058,1.3823529411764706,1.3191489361702127
1968.0,37.0,18.0,31.0,40.0,68.0,58.0,1.088235294117647,0.5294117647058824,0.9117647058823529,1.1764705882352942,2.0,1.7058823529411764,1.1724137931034482
1969.0,40.0,10.0,21.0,21.0,61.0,31.0,1.1764705882352942,0.29411764705882354,0.6176470588235294,0.6176470588235294,1.7941176470588236,0.9117647058823529,1.967741935483871
1970.0,54.0,15.0,34.0,22.0,88.0,37.0,1.588235294117647,0.4411764705882353,1.0,0.6470588235294118,2.588235294117647,1.088235294117647,2.3783783783783785
1971.0,46.0,15.0,28.0,21.0,74.0,36.0,1.3529411764705883,0.4411764705882353,0.8235294117647058,0.6176470588235294,2.176470588235294,1.0588235294117647,2.0555555555555554
1972.0,69.0,20.0,32.0,18.0,101.0,38.0,2.0294117647058822,0.5882352941176471,0.9411764705882353,0.5294117647058824,2.9705882352941178,1.1176470588235294,2.6578947368421053
1973.0,62.0,14.0,31.0,15.0,93.0,29.0,1.8235294117647058,0.4117647058823529,0.9117647058823529,0.4411764705882353,2.735294117647059,0.8529411764705882,3.206896551724138
1974.0,55.0,17.0,40.0,36.0,95.0,53.0,1.6176470588235294,0.5,1.1764705882352942,1.0588235294117647,2.7941176470588234,1.5588235294117647,1.7924528301886793
1975.0,35.0,24.0,22.0,39.0,57.0,63.0,1.0294117647058822,0.7058823529411765,0.6470588235294118,1.1470588235294117,1.6764705882352942,1.8529411764705883,0.9047619047619048
1976.0,52.0,17.0,20.0,33.0,72.0,50.0,1.5294117647058822,0.5,0.5882352941176471,0.9705882352941176,2.1176470588235294,1.4705882352941178,1.44
1977.0,49.0,25.0,25.0,40.0,74.0,65.0,1.4411764705882353,0.7352941176470589,0.7352941176470589,1.1764705882352942,2.176470588235294,1.911764705882353,1.1384615384615384
1978.0,43.0,22.0,19.0,42.0,62.0,64.0,1.2647058823529411,0.6470588235294118,0.5588235294117647,1.2352941176470589,1.8235294117647058,1.8823529411764706,0.96875
1979.0,44.0,17.0,25.0,29.0,69.0,46.0,1.2941176470588236,0.5,0.7352941176470589,0.8529411764705882,2.0294117647058822,1.3529411764705883,1.5
1980.0,54.0,12.0,30.0,21.0,84.0,33.0,1.588235294117647,0.35294117647058826,0.8823529411764706,0.6176470588235294,2.4705882352941178,0.9705882352941176,2.5454545454545454
1981.0,57.0,18.0,32.0,23.0,89.0,41.0,1.6764705882352942,0.5294117647058824,0.9411764705882353,0.6764705882352942,2.6176470588235294,1.2058823529411764,2.1707317073170733
1982.0,52.0,20.0,25.0,36.0,77.0,56.0,1.5294117647058822,0.5882352941176471,0.7352941176470589,1.0588235294117647,2.264705882352941,1.6470588235294117,1.375
1983.0,43.0,9.0,31.0,24.0,74.0,33.0,1.2647058823529411,0.2647058823529412,0.9117647058823529,0.7058823529411765,2.176470588235294,0.9705882352941176,2.242424242424242
1984.0,59.0,14.0,25.0,27.0,84.0,41.0,1.7352941176470589,0.4117647058823529,0.7352941176470589,0.7941176470588235,2.4705882352941178,1.2058823529411764,2.048780487804878
1985.0,50.0,18.0,29.0,20.0,79.0,38.0,1.4705882352941178,0.5294117647058824,0.8529411764705882,0.5882352941176471,2.323529411764706,1.1176470588235294,2.0789473684210527
1986.0,58.0,14.0,24.0,17.0,82.0,31.0,1.7058823529411764,0.4117647058823529,0.7058823529411765,0.5,2.411764705882353,0.9117647058823529,2.6451612903225805
1987.0,41.0,14.0,26.0,17.0,67.0,31.0,1.2058823529411764,0.4117647058823529,0.7647058823529411,0.5,1.9705882352941178,0.9117647058823529,2.161290322580645
1988.0,55.0,17.0,28.0,28.0,83.0,45.0,1.6176470588235294,0.5,0.8235294117647058,0.8235294117647058,2.4411764705882355,1.3235294117647058,1.8444444444444446
1989.0,44.0,8.0,23.0,18.0,67.0,26.0,1.2941176470588236,0.23529411764705882,0.6764705882352942,0.5294117647058824,1.9705882352941178,0.7647058823529411,2.576923076923077
1990.0,41.0,8.0,23.0,20.0,64.0,28.0,1.2058823529411764,0.23529411764705882,0.6764705882352942,0.5882352941176471,1.8823529411764706,0.8235294117647058,2.2857142857142856
1991.0,46.0,19.0,28.0,22.0,74.0,41.0,1.3529411764705883,0.5588235294117647,0.8235294117647058,0.6470588235294118,2.176470588235294,1.2058823529411764,1.8048780487804879
1992.0,35.0,32.0,24.0,29.0,59.0,61.0,0.9210526315789473,0.8421052631578947,0.631578947368421,0.7631578947368421,1.5526315789473684,1.605263157894737,0.9672131147540983
1993.0,43.0,16.0,31.0,29.0,74.0,45.0,1.2647058823529411,0.47058823529411764,0.9117647058823529,0.8529411764705882,2.176470588235294,1.3235294117647058,1.6444444444444444
1994.0,46.0,11.0,24.0,27.0,70.0,38.0,1.3142857142857143,0.3142857142857143,0.6857142857142857,0.7714285714285715,2.0,1.0857142857142856,1.8421052631578947
1995.0,32.0,19.0,23.0,22.0,55.0,41.0,0.9411764705882353,0.5588235294117647,0.6764705882352942,0.6470588235294118,1.6176470588235294,1.2058823529411764,1.3414634146341464
1996.0,35.0,20.0,31.0,26.0,66.0,46.0,1.0294117647058822,0.5882352941176471,0.9117647058823529,0.7647058823529411,1.9411764705882353,1.3529411764705883,1.434782608695652
1997.0,37.0,12.0,31.0,22.0,68.0,34.0,1.088235294117647,0.35294117647058826,0.9117647058823529,0.6470588235294118,2.0,1.0,2.0
1998.0,36.0,14.0,33.0,23.0,69.0,37.0,1.0588235294117647,0.4117647058823529,0.9705882352941176,0.6764705882352942,2.0294117647058822,1.088235294117647,1.864864864864865
1999.0,48.0,15.0,28.0,13.0,76.0,28.0,1.411764705882353,0.4411764705882353,0.8235294117647058,0.38235294117647056,2.235294117647059,0.8235294117647058,2.7142857142857144
2000.0,50.0,17.0,23.0,11.0,73.0,28.0,1.4705882352941178,0.5,0.6764705882352942,0.3235294117647059,2.1470588235294117,0.8235294117647058,2.607142857142857
2001.0,37.0,20.0,25.0,17.0,62.0,37.0,1.088235294117647,0.5882352941176471,0.7352941176470589,0.5,1.8235294117647058,1.088235294117647,1.6756756756756757
2002.0,42.0,10.0,23.0,15.0,65.0,25.0,1.2352941176470589,0.29411764705882354,0.6764705882352942,0.4411764705882353,1.911764705882353,0.7352941176470589,2.6
2003.0,37.0,12.0,33.0,13.0,70.0,25.0,1.088235294117647,0.35294117647058826,0.9705882352941176,0.38235294117647056,2.0588235294117645,0.7352941176470589,2.8
2004.0,43.0,19.0,27.0,20.0,70.0,39.0,1.2647058823529411,0.5588235294117647,0.7941176470588235,0.5882352941176471,2.0588235294117645,1.1470588235294117,1.794871794871795
2005.0,44.0,14.0,31.0,19.0,75.0,33.0,1.2941176470588236,0.4117647058823529,0.9117647058823529,0.5588235294117647,2.2058823529411766,0.9705882352941176,2.272727272727273
2006.0,42.0,14.0,25.0,18.0,67.0,32.0,1.2352941176470589,0.4117647058823529,0.7352941176470589,0.5294117647058824,1.9705882352941178,0.9411764705882353,2.09375
2007.0,29.0,14.0,26.0,26.0,55.0,40.0,0.8529411764705882,0.4117647058823529,0.7647058823529411,0.7647058823529411,1.6176470588235294,1.1764705882352942,1.375
2008.0,41.0,8.0,27.0,13.0,68.0,21.0,1.2058823529411764,0.23529411764705882,0.7941176470588235,0.38235294117647056,2.0,0.6176470588235294,3.238095238095238
2009.0,45.0,23.0,26.0,19.0,71.0,42.0,1.3235294117647058,0.6764705882352942,0.7647058823529411,0.5588235294117647,2.088235294117647,1.2352941176470589,1.6904761904761905
2010.0,39.0,13.0,33.0,18.0,72.0,31.0,1.1470588235294117,0.38235294117647056,0.9705882352941176,0.5294117647058824,2.1176470588235294,0.9117647058823529,2.3225806451612905
2011.0,48.0,13.0,33.0,27.0,81.0,40.0,1.411764705882353,0.38235294117647056,0.9705882352941176,0.7941176470588235,2.3823529411764706,1.1764705882352942,2.025
2012.0,49.0,6.0,28.0,16.0,77.0,22.0,1.4411764705882353,0.17647058823529413,0.8235294117647058,0.47058823529411764,2.264705882352941,0.6470588235294118,3.5
2013.0,56.0,11.0,42.0,7.0,98.0,18.0,1.6470588235294117,0.3235294117647059,1.2352941176470589,0.20588235294117646,2.8823529411764706,0.5294117647058824,5.444444444444445
2014.0,48.0,15.0,46.0,8.0,94.0,23.0,1.411764705882353,0.4411764705882353,1.3529411764705883,0.23529411764705882,2.764705882352941,0.6764705882352942,4.086956521739131
2015.0,46.0,7.0,34.0,11.0,80.0,18.0,1.3529411764705883,0.20588235294117646,1.0,0.3235294117647059,2.3529411764705883,0.5294117647058824,4.444444444444445
2016.0,51.0,8.0,29.0,9.0,80.0,17.0,1.5,0.23529411764705882,0.8529411764705882,0.2647058823529412,2.3529411764705883,0.5,4.705882352941177
2017.0,55.0,9.0,34.0,13.0,89.0,22.0,1.6176470588235294,0.2647058823529412,1.0,0.38235294117647056,2.6176470588235294,0.6470588235294118,4.045454545454546
2018.0,56.0,15.0,36.0,13.0,92.0,28.0,1.6470588235294117,0.4411764705882353,1.0588235294117647,0.38235294117647056,2.7058823529411766,0.8235294117647058,3.2857142857142856
